Frogs that are Extinct (4 EPBC species),,,,,
"Genus, species (subspecies, population)",Common Name,,,,
Rheobatrachus silus,Southern Gastric-brooding Frog,,,,
Rheobatrachus vitellinus,"Northern Gastric-brooding Frog, Eungella Gastric-brooding Frog",,,,
Taudactylus acutirostris,"Sharp-snouted Day Frog, Sharp-snouted Torrent Frog",,,,
Taudactylus diurnus,"Southern Day Frog, Mt Glorious Torrent Frog",,,,
Reptiles that are Extinct (1 EPBC species),,,,,
"Genus, species (subspecies, population)",Common Name,,,,
Emoia nativitatis,"Christmas Island Forest Skink, Christmas Island Whiptail-skink",,,,
Birds that are Extinct (22 EPBC species),,,,,
"Genus, species (subspecies, population)",Common Name,,,,
Aplonis fusca,Tasman Starling,,,,
Columba vitiensis godmanae,"Lord Howe White-throated Pigeon, White-throated Pigeon (Lord Howe Island)",,,,
Cyanoramphus novaezelandiae erythrotis,"Macquarie Island Red-fronted Parakeet, Red-crowned Parakeet (Macquarie Island)",,,,
Cyanoramphus novaezelandiae subflavescens,"Lord Howe Tasman Parakeet, Red-crowned Parakeet (Lord Howe Island)",,,,
Dasyornis broadbenti litoralis,"Rufous Bristlebird (western), South-western Rufous Bristlebird",,,,
Dromaius ater = Dromaius novaehollandiae minor,King Island Emu,,,,
Dromaius baudinianus = Dromaius novaehollandiae baudinianus,Kangaroo Island Emu,,,,
Dromaius novaehollandiae diemenensis,"Tasmanian Emu, Emu (Tasmanian)",,,,
Gerygone insularis,"Lord Howe Gerygone, Lord Howe Warbler",,,,
Hemiphaga novaeseelandiae spadicea,"New Zealand Pigeon (Norfolk Island race), Norfolk Island New Zealand Pigeon",,,,
Hypotaenidia philippensis macquariensis,"Macquarie Island Buff-banded Rail, Buff-banded Rail (Macquarie Island)",,,,
Lalage leucopyga leucopyga,Norfolk Island Long-tailed Triller,,,,
Lewinia pectoralis clelandi,"Western Australian Lewin's Rail, Lewin's Rail (western)",,,,
Nestor productus,Norfolk Island Kaka,,,,
Ninox novaeseelandiae albaria,"Lord Howe Southern Boobook, Lord Howe Boobook Owl",,,,
Porphyrio albus,White Gallinule,,,,
Psephotus pulcherrimus,Paradise Parrot,,,,
Rhipidura fuliginosa cervina,"Lord Howe Grey Fantail, Grey Fantail (Lord Howe Island)",,,,
Turdus poliocephalus poliocephalus,"Grey-headed Blackbird, Norfolk Island Thrush",,,,
Turdus poliocephalus vinitinctus,"Lord Howe Thrush, Vinous-tinted Thrush",,,,
Zosterops albogularis,"White-chested White-eye, Norfolk Island Silvereye",,,,
Zosterops strenuus,Robust White-eye,,,,
Mammals that are Extinct (39 EPBC species),,,,,
"Genus, species (subspecies, population)",Common Name,,,,
Bettongia anhydra,Desert Bettong,,,,
Bettongia gaimardi gaimardi,"Eastern Bettong (mainland), Eastern Rat-kangaroo",,,,
