Flora that are Extinct (36 EPBC species),
"Genus, species (subspecies, population)",Common Name
Acacia kingiana,
Acacia prismifolia,Diels' Wattle
Acianthus ledwardii,
Amperea xiphoclada var. pedicellata,
Amphibromus whitei,
Caladenia brachyscapa,Short Spider-orchid
Coleanthera virgata = Styphelia lanata,Hidden Coleanthera
Deyeuxia lawrencei,
Didymoglossum exiguum,
Diuris bracteata,
Euphrasia ruptura,subshrub
Frankenia decurrens,Decurrent-leaved Frankenia
Huperzia serrata,Water Tassel-fern
Hymenophyllum lobbii,
Hymenophyllum whitei,a filmy fern
Lemmaphyllum accedens,
Lepidium drummondii,Drummond's Lepidium
Leucopogon cryptanthus,Small-flowered Leucopogon
Lycopodium volubile = Pseudodiphasium volubile,
Monogramma dareicarpa,Grass Fern
Musa fitzalanii,Daintree's River Banana
Myriocephalus nudus,
Olearia oliganthema,
Opercularia acolytantha,Esperance Dog Weed
Ozothamnus selaginoides,"Clubmoss Everlasting, Table Mountain Daisy Bush"
Paspalum batianoffii,
Persoonia laxa,
Persoonia prostrata,
Pultenaea maidenii,Maiden's Bush-pea
Senecio georgianus,Grey Groundsel
Solanum bauerianum,Bridal Flower
Tetratheca fasciculata,Cronin's Tetratheca
Thomasia gardneri,Mt Holland Thomasia
Tmesipteris lanceolata,
Trianthema cypseleoides,
Vanvoorstia bennettiana,Bennett's Seaweed
Flora that are Critically Endangered (260 EPBC species),
"Genus, species (subspecies, population)",Common Name
Abutilon julianae,Norfolk Island Abutilon
Acacia blayana,Blay's Wattle
Acacia cochlocarpa subsp. velutinosa,Velvety Spiral Pod Wattle
Acacia constablei,Narrabarba Wattle
Acacia dangarensis,
Acacia equisetifolia,a shrub
Acacia leptoneura,
Acacia purpureopetala,Purple-flowered Wattle
Acacia unguicula,a shrub
Acanthocladium dockeri,"Spiny Everlasting, Spiny Daisy"
Achyranthes arborescens,"Chaff Tree, Soft-wood"
Achyranthes margaretarum,Phillip Island Chaffy Tree
Andersonia annelsii,
Andersonia axilliflora,Giant Andersonia
Androcalva adenothalia,
Androcalva bivillosa,Straggling Androcalva
Androcalva perkinsiana,Headland Commersonia
Anthosachne kingiana subsp. kingiana,Phillip Island Wheat Grass
Antrophyum austroqueenslandicum,"Border Ranges Lined Fern, Lamington Ox Tongue Fern"
Asplenium listeri,Christmas Island Spleenwort
Asterolasia asteriscophora subsp. albiflora,White Star-bush
Asterolasia beckersii,Dungowan Starbush
Asterolasia buxifolia,
Atalaya brevialata,
Austrostipa jacobsiana,
Azorella macquariensis,"Macquarie Azorella, Macquarie Cushions"
Banksia anatona,Cactus Dryandra
Banksia aurantia,Orange Dryandra
