scientificName,type,genusOrAbove,specificEpithet,parsed,parsedPartially,canonicalName,canonicalNameComplete,canonicalNameWithMarker,rankMarker,infraSpecificEpithet,cultivarEpithet,nomStatus,authorship,bracketAuthorship,strain,notho
Rheobatrachus silus,SCIENTIFIC,Rheobatrachus,silus,True,False,Rheobatrachus silus,Rheobatrachus silus,Rheobatrachus silus,sp.,,,,,,,
Rheobatrachus vitellinus,SCIENTIFIC,Rheobatrachus,vitellinus,True,False,Rheobatrachus vitellinus,Rheobatrachus vitellinus,Rheobatrachus vitellinus,sp.,,,,,,,
Taudactylus acutirostris,SCIENTIFIC,Taudactylus,acutirostris,True,False,Taudactylus acutirostris,Taudactylus acutirostris,Taudactylus acutirostris,sp.,,,,,,,
Taudactylus diurnus,SCIENTIFIC,Taudactylus,diurnus,True,False,Taudactylus diurnus,Taudactylus diurnus,Taudactylus diurnus,sp.,,,,,,,
Emoia nativitatis,SCIENTIFIC,Emoia,nativitatis,True,False,Emoia nativitatis,Emoia nativitatis,Emoia nativitatis,sp.,,,,,,,
Aplonis fusca,SCIENTIFIC,Aplonis,fusca,True,False,Aplonis fusca,Aplonis fusca,Aplonis fusca,sp.,,,,,,,
Columba vitiensis godmanae,SCIENTIFIC,Columba,vitiensis,True,False,Columba vitiensis godmanae,Columba vitiensis godmanae,Columba vitiensis godmanae,infrasp.,godmanae,,,,,,
Cyanoramphus novaezelandiae erythrotis,SCIENTIFIC,Cyanoramphus,novaezelandiae,True,False,Cyanoramphus novaezelandiae erythrotis,Cyanoramphus novaezelandiae erythrotis,Cyanoramphus novaezelandiae erythrotis,infrasp.,erythrotis,,,,,,
Cyanoramphus novaezelandiae subflavescens,SCIENTIFIC,Cyanoramphus,novaezelandiae,True,False,Cyanoramphus novaezelandiae subflavescens,Cyanoramphus novaezelandiae subflavescens,Cyanoramphus novaezelandiae subflavescens,infrasp.,subflavescens,,,,,,
Dasyornis broadbenti litoralis,SCIENTIFIC,Dasyornis,broadbenti,True,False,Dasyornis broadbenti litoralis,Dasyornis broadbenti litoralis,Dasyornis broadbenti litoralis,infrasp.,litoralis,,,,,,
Dromaius ater = Dromaius novaehollandiae minor,DOUBTFUL,Dromaius,ater,True,False,Dromaius ater minor,Dromaius ater minor,Dromaius ater minor,infrasubsp.,minor,,,,,,
Dromaius baudinianus = Dromaius novaehollandiae baudinianus,DOUBTFUL,Dromaius,baudinianus,True,False,Dromaius baudinianus baudinianus,Dromaius baudinianus baudinianus,Dromaius baudinianus baudinianus,infrasubsp.,baudinianus,,,,,,
Dromaius novaehollandiae diemenensis,SCIENTIFIC,Dromaius,novaehollandiae,True,False,Dromaius novaehollandiae diemenensis,Dromaius novaehollandiae diemenensis,Dromaius novaehollandiae diemenensis,infrasp.,diemenensis,,,,,,
Gerygone insularis,SCIENTIFIC,Gerygone,insularis,True,False,Gerygone insularis,Gerygone insularis,Gerygone insularis,sp.,,,,,,,
Hemiphaga novaeseelandiae spadicea,SCIENTIFIC,Hemiphaga,novaeseelandiae,True,False,Hemiphaga novaeseelandiae spadicea,Hemiphaga novaeseelandiae spadicea,Hemiphaga novaeseelandiae spadicea,infrasp.,spadicea,,,,,,
Hypotaenidia philippensis macquariensis,SCIENTIFIC,Hypotaenidia,philippensis,True,False,Hypotaenidia philippensis macquariensis,Hypotaenidia philippensis macquariensis,Hypotaenidia philippensis macquariensis,infrasp.,macquariensis,,,,,,
Lalage leucopyga leucopyga,SCIENTIFIC,Lalage,leucopyga,True,False,Lalage leucopyga leucopyga,Lalage leucopyga leucopyga,Lalage leucopyga leucopyga,infrasp.,leucopyga,,,,,,
Lewinia pectoralis clelandi,SCIENTIFIC,Lewinia,pectoralis,True,False,Lewinia pectoralis clelandi,Lewinia pectoralis clelandi,Lewinia pectoralis clelandi,infrasp.,clelandi,,,,,,
Nestor productus,SCIENTIFIC,Nestor,productus,True,False,Nestor productus,Nestor productus,Nestor productus,sp.,,,,,,,
Ninox novaeseelandiae albaria,SCIENTIFIC,Ninox,novaeseelandiae,True,False,Ninox novaeseelandiae albaria,Ninox novaeseelandiae albaria,Ninox novaeseelandiae albaria,infrasp.,albaria,,,,,,
Porphyrio albus,SCIENTIFIC,Porphyrio,albus,True,False,Porphyrio albus,Porphyrio albus,Porphyrio albus,sp.,,,,,,,
Psephotus pulcherrimus,SCIENTIFIC,Psephotus,pulcherrimus,True,False,Psephotus pulcherrimus,Psephotus pulcherrimus,Psephotus pulcherrimus,sp.,,,,,,,
Rhipidura fuliginosa cervina,SCIENTIFIC,Rhipidura,fuliginosa,True,False,Rhipidura fuliginosa cervina,Rhipidura fuliginosa cervina,Rhipidura fuliginosa cervina,infrasp.,cervina,,,,,,
Turdus poliocephalus poliocephalus,SCIENTIFIC,Turdus,poliocephalus,True,False,Turdus poliocephalus poliocephalus,Turdus poliocephalus poliocephalus,Turdus poliocephalus poliocephalus,infrasp.,poliocephalus,,,,,,
Turdus poliocephalus vinitinctus,SCIENTIFIC,Turdus,poliocephalus,True,False,Turdus poliocephalus vinitinctus,Turdus poliocephalus vinitinctus,Turdus poliocephalus vinitinctus,infrasp.,vinitinctus,,,,,,
Zosterops albogularis,SCIENTIFIC,Zosterops,albogularis,True,False,Zosterops albogularis,Zosterops albogularis,Zosterops albogularis,sp.,,,,,,,
Zosterops strenuus,SCIENTIFIC,Zosterops,strenuus,True,False,Zosterops strenuus,Zosterops strenuus,Zosterops strenuus,sp.,,,,,,,
Bettongia anhydra,SCIENTIFIC,Bettongia,anhydra,True,False,Bettongia anhydra,Bettongia anhydra,Bettongia anhydra,sp.,,,,,,,
Bettongia gaimardi gaimardi,SCIENTIFIC,Bettongia,gaimardi,True,False,Bettongia gaimardi gaimardi,Bettongia gaimardi gaimardi,Bettongia gaimardi gaimardi,infrasp.,gaimardi,,,,,,
Bettongia lesueur graii,SCIENTIFIC,Bettongia,lesueur,True,False,Bettongia lesueur graii,Bettongia lesueur graii,Bettongia lesueur graii,infrasp.,graii,,,,,,
Bettongia penicillata penicillata,SCIENTIFIC,Bettongia,penicillata,True,False,Bettongia penicillata penicillata,Bettongia penicillata penicillata,Bettongia penicillata penicillata,infrasp.,penicillata,,,,,,
Bettongia pusilla,SCIENTIFIC,Bettongia,pusilla,True,False,Bettongia pusilla,Bettongia pusilla,Bettongia pusilla,sp.,,,,,,,
Caloprymnus campestris,SCIENTIFIC,Caloprymnus,campestris,True,False,Caloprymnus campestris,Caloprymnus campestris,Caloprymnus campestris,sp.,,,,,,,
Chaeropus ecaudatus,SCIENTIFIC,Chaeropus,ecaudatus,True,False,Chaeropus ecaudatus,Chaeropus ecaudatus,Chaeropus ecaudatus,sp.,,,,,,,
Chaeropus yirratji,SCIENTIFIC,Chaeropus,yirratji,True,False,Chaeropus yirratji,Chaeropus yirratji,Chaeropus yirratji,sp.,,,,,,,
Conilurus albipes,SCIENTIFIC,Conilurus,albipes,True,False,Conilurus albipes,Conilurus albipes,Conilurus albipes,sp.,,,,,,,
Conilurus capricornensis,SCIENTIFIC,Conilurus,capricornensis,True,False,Conilurus capricornensis,Conilurus capricornensis,Conilurus capricornensis,sp.,,,,,,,
Lagorchestes asomatus,SCIENTIFIC,Lagorchestes,asomatus,True,False,Lagorchestes asomatus,Lagorchestes asomatus,Lagorchestes asomatus,sp.,,,,,,,
Lagorchestes hirsutus hirsutus,SCIENTIFIC,Lagorchestes,hirsutus,True,False,Lagorchestes hirsutus hirsutus,Lagorchestes hirsutus hirsutus,Lagorchestes hirsutus hirsutus,infrasp.,hirsutus,,,,,,
Lagorchestes leporides,SCIENTIFIC,Lagorchestes,leporides,True,False,Lagorchestes leporides,Lagorchestes leporides,Lagorchestes leporides,sp.,,,,,,,
Lagostrophus fasciatus albipilis,SCIENTIFIC,Lagostrophus,fasciatus,True,False,Lagostrophus fasciatus albipilis,Lagostrophus fasciatus albipilis,Lagostrophus fasciatus albipilis,infrasp.,albipilis,,,,,,
Leporillus apicalis,SCIENTIFIC,Leporillus,apicalis,True,False,Leporillus apicalis,Leporillus apicalis,Leporillus apicalis,sp.,,,,,,,
Macrotis leucura,SCIENTIFIC,Macrotis,leucura,True,False,Macrotis leucura,Macrotis leucura,Macrotis leucura,sp.,,,,,,,
Melomys rubicola,SCIENTIFIC,Melomys,rubicola,True,False,Melomys rubicola,Melomys rubicola,Melomys rubicola,sp.,,,,,,,
Notamacropus greyi,SCIENTIFIC,Notamacropus,greyi,True,False,Notamacropus greyi,Notamacropus greyi,Notamacropus greyi,sp.,,,,,,,
Notomys amplus,SCIENTIFIC,Notomys,amplus,True,False,Notomys amplus,Notomys amplus,Notomys amplus,sp.,,,,,,,
Notomys longicaudatus,SCIENTIFIC,Notomys,longicaudatus,True,False,Notomys longicaudatus,Notomys longicaudatus,Notomys longicaudatus,sp.,,,,,,,
Notomys macrotis,SCIENTIFIC,Notomys,macrotis,True,False,Notomys macrotis,Notomys macrotis,Notomys macrotis,sp.,,,,,,,
Notomys mordax,SCIENTIFIC,Notomys,mordax,True,False,Notomys mordax,Notomys mordax,Notomys mordax,sp.,,,,,,,
Notomys robustus,SCIENTIFIC,Notomys,robustus,True,False,Notomys robustus,Notomys robustus,Notomys robustus,sp.,,,,,,,
Nyctophilus howensis,SCIENTIFIC,Nyctophilus,howensis,True,False,Nyctophilus howensis,Nyctophilus howensis,Nyctophilus howensis,sp.,,,,,,,
Onychogalea lunata,SCIENTIFIC,Onychogalea,lunata,True,False,Onychogalea lunata,Onychogalea lunata,Onychogalea lunata,sp.,,,,,,,
Perameles bougainville fasciata = Perameles fasciata,DOUBTFUL,Perameles,bougainville,True,True,Perameles bougainville fasciata,Perameles bougainville fasciata,Perameles bougainville fasciata,infrasp.,fasciata,,,,,,
Perameles eremiana,SCIENTIFIC,Perameles,eremiana,True,False,Perameles eremiana,Perameles eremiana,Perameles eremiana,sp.,,,,,,,
Perameles myosurus = Perameles myosuros,DOUBTFUL,Perameles,myosurus,True,False,Perameles myosurus myosuros,Perameles myosurus myosuros,Perameles myosurus myosuros,infrasp.,myosuros,,,,,,
Perameles notina,SCIENTIFIC,Perameles,notina,True,False,Perameles notina,Perameles notina,Perameles notina,sp.,,,,,,,
Perameles papillon,SCIENTIFIC,Perameles,papillon,True,False,Perameles papillon,Perameles papillon,Perameles papillon,sp.,,,,,,,
Pipistrellus murrayi,SCIENTIFIC,Pipistrellus,murrayi,True,False,Pipistrellus murrayi,Pipistrellus murrayi,Pipistrellus murrayi,sp.,,,,,,,
Potorous platyops,SCIENTIFIC,Potorous,platyops,True,False,Potorous platyops,Potorous platyops,Potorous platyops,sp.,,,,,,,
Pseudomys auritus,SCIENTIFIC,Pseudomys,auritus,True,False,Pseudomys auritus,Pseudomys auritus,Pseudomys auritus,sp.,,,,,,,
Pseudomys glaucus,SCIENTIFIC,Pseudomys,glaucus,True,False,Pseudomys glaucus,Pseudomys glaucus,Pseudomys glaucus,sp.,,,,,,,
Pseudomys gouldii,SCIENTIFIC,Pseudomys,gouldii,True,False,Pseudomys gouldii,Pseudomys gouldii,Pseudomys gouldii,sp.,,,,,,,
Pteropus brunneus,SCIENTIFIC,Pteropus,brunneus,True,False,Pteropus brunneus,Pteropus brunneus,Pteropus brunneus,sp.,,,,,,,
Rattus macleari,SCIENTIFIC,Rattus,macleari,True,False,Rattus macleari,Rattus macleari,Rattus macleari,sp.,,,,,,,
Rattus nativitatis,SCIENTIFIC,Rattus,nativitatis,True,False,Rattus nativitatis,Rattus nativitatis,Rattus nativitatis,sp.,,,,,,,
Thylacinus cynocephalus,SCIENTIFIC,Thylacinus,cynocephalus,True,False,Thylacinus cynocephalus,Thylacinus cynocephalus,Thylacinus cynocephalus,sp.,,,,,,,
Hypolimnus pedderensis,SCIENTIFIC,Hypolimnus,pedderensis,True,False,Hypolimnus pedderensis,Hypolimnus pedderensis,Hypolimnus pedderensis,sp.,,,,,,,
Galaxias pedderensis,SCIENTIFIC,Galaxias,pedderensis,True,False,Galaxias pedderensis,Galaxias pedderensis,Galaxias pedderensis,sp.,,,,,,,
Bidyanus bidyanus,SCIENTIFIC,Bidyanus,bidyanus,True,False,Bidyanus bidyanus,Bidyanus bidyanus,Bidyanus bidyanus,sp.,,,,,,,
Brachionichthys hirsutus,SCIENTIFIC,Brachionichthys,hirsutus,True,False,Brachionichthys hirsutus,Brachionichthys hirsutus,Brachionichthys hirsutus,sp.,,,,,,,
Cairnsichthys bitaeniatus,SCIENTIFIC,Cairnsichthys,bitaeniatus,True,False,Cairnsichthys bitaeniatus,Cairnsichthys bitaeniatus,Cairnsichthys bitaeniatus,sp.,,,,,,,
Carcharias taurus (east coast population),SCIENTIFIC,Carcharias,taurus,True,True,Carcharias taurus coast,Carcharias taurus strain coast,Carcharias taurus strain coast,strain,coast,,,,,,
Galaxias aequipinnis,SCIENTIFIC,Galaxias,aequipinnis,True,False,Galaxias aequipinnis,Galaxias aequipinnis,Galaxias aequipinnis,sp.,,,,,,,
Galaxias brevissimus,SCIENTIFIC,Galaxias,brevissimus,True,False,Galaxias brevissimus,Galaxias brevissimus,Galaxias brevissimus,sp.,,,,,,,
Galaxias gunaikurnai,SCIENTIFIC,Galaxias,gunaikurnai,True,False,Galaxias gunaikurnai,Galaxias gunaikurnai,Galaxias gunaikurnai,sp.,,,,,,,
Galaxias lanceolatus,SCIENTIFIC,Galaxias,lanceolatus,True,False,Galaxias lanceolatus,Galaxias lanceolatus,Galaxias lanceolatus,sp.,,,,,,,
Galaxias longifundus,SCIENTIFIC,Galaxias,longifundus,True,False,Galaxias longifundus,Galaxias longifundus,Galaxias longifundus,sp.,,,,,,,
Galaxias mcdowalli,SCIENTIFIC,Galaxias,mcdowalli,True,False,Galaxias mcdowalli,Galaxias mcdowalli,Galaxias mcdowalli,sp.,,,,,,,
Galaxias mungadhan,SCIENTIFIC,Galaxias,mungadhan,True,False,Galaxias mungadhan,Galaxias mungadhan,Galaxias mungadhan,sp.,,,,,,,
Galaxias rostratus,SCIENTIFIC,Galaxias,rostratus,True,False,Galaxias rostratus,Galaxias rostratus,Galaxias rostratus,sp.,,,,,,,
Galaxias sp. nov. 'Hunter',CULTIVAR,Galaxias,,True,False,Galaxias spec.,Galaxias spec. 'Hunter',Galaxias spec. 'Hunter',sp.,,Hunter,sp.nov.,,,,
Galaxias sp. nov. 'Moroka',CULTIVAR,Galaxias,,True,False,Galaxias spec.,Galaxias spec. 'Moroka',Galaxias spec. 'Moroka',sp.,,Moroka,sp.nov.,,,,
Galaxias sp. nov. 'Morwell',CULTIVAR,Galaxias,,True,False,Galaxias spec.,Galaxias spec. 'Morwell',Galaxias spec. 'Morwell',sp.,,Morwell,sp.nov.,,,,
Galaxias sp. nov. 'Yalmy',CULTIVAR,Galaxias,,True,False,Galaxias spec.,Galaxias spec. 'Yalmy',Galaxias spec. 'Yalmy',sp.,,Yalmy,sp.nov.,,,,
Galaxias supremus,SCIENTIFIC,Galaxias,supremus,True,False,Galaxias supremus,Galaxias supremus,Galaxias supremus,sp.,,,,,,,
Galaxias tantangara,SCIENTIFIC,Galaxias,tantangara,True,False,Galaxias tantangara,Galaxias tantangara,Galaxias tantangara,sp.,,,,,,,
