Scientific Name,Common Name,Endangered Status,Group
Rheobatrachus silus,Southern Gastric-brooding Frog,Extinct,Frogs
Rheobatrachus vitellinus,"Northern Gastric-brooding Frog, Eungella Gastric-brooding Frog",Extinct,Frogs
Taudactylus acutirostris,"Sharp-snouted Day Frog, Sharp-snouted Torrent Frog",Extinct,Frogs
Taudactylus diurnus,"Southern Day Frog, Mt Glorious Torrent Frog",Extinct,Frogs
Emoia nativitatis,"Christmas Island Forest Skink, Christmas Island Whiptail-skink",Extinct,Reptiles
Aplonis fusca,Tasman Starling,Extinct,Birds
Columba vitiensis godmanae,"Lord Howe White-throated Pigeon, White-throated Pigeon (Lord Howe Island)",Extinct,Birds
Cyanoramphus novaezelandiae erythrotis,"Macquarie Island Red-fronted Parakeet, Red-crowned Parakeet (Macquarie Island)",Extinct,Birds
Cyanoramphus novaezelandiae subflavescens,"Lord Howe Tasman Parakeet, Red-crowned Parakeet (Lord Howe Island)",Extinct,Birds
Dasyornis broadbenti litoralis,"Rufous Bristlebird (western), South-western Rufous Bristlebird",Extinct,Birds
Dromaius ater = Dromaius novaehollandiae minor,King Island Emu,Extinct,Birds
Dromaius baudinianus = Dromaius novaehollandiae baudinianus,Kangaroo Island Emu,Extinct,Birds
Dromaius novaehollandiae diemenensis,"Tasmanian Emu, Emu (Tasmanian)",Extinct,Birds
Gerygone insularis,"Lord Howe Gerygone, Lord Howe Warbler",Extinct,Birds
Hemiphaga novaeseelandiae spadicea,"New Zealand Pigeon (Norfolk Island race), Norfolk Island New Zealand Pigeon",Extinct,Birds
Hypotaenidia philippensis macquariensis,"Macquarie Island Buff-banded Rail, Buff-banded Rail (Macquarie Island)",Extinct,Birds
Lalage leucopyga leucopyga,Norfolk Island Long-tailed Triller,Extinct,Birds
Lewinia pectoralis clelandi,"Western Australian Lewin's Rail, Lewin's Rail (western)",Extinct,Birds
Nestor productus,Norfolk Island Kaka,Extinct,Birds
Ninox novaeseelandiae albaria,"Lord Howe Southern Boobook, Lord Howe Boobook Owl",Extinct,Birds
Porphyrio albus,White Gallinule,Extinct,Birds
Psephotus pulcherrimus,Paradise Parrot,Extinct,Birds
Rhipidura fuliginosa cervina,"Lord Howe Grey Fantail, Grey Fantail (Lord Howe Island)",Extinct,Birds
Turdus poliocephalus poliocephalus,"Grey-headed Blackbird, Norfolk Island Thrush",Extinct,Birds
Turdus poliocephalus vinitinctus,"Lord Howe Thrush, Vinous-tinted Thrush",Extinct,Birds
Zosterops albogularis,"White-chested White-eye, Norfolk Island Silvereye",Extinct,Birds
Zosterops strenuus,Robust White-eye,Extinct,Birds
Bettongia anhydra,Desert Bettong,Extinct,Mammals
Bettongia gaimardi gaimardi,"Eastern Bettong (mainland), Eastern Rat-kangaroo",Extinct,Mammals
Bettongia lesueur graii,"Boodie (inland), Burrowing Bettong (inland)",Extinct,Mammals
Bettongia penicillata penicillata,"Brush-tailed Bettong (central and south-east), Brush-tailed Bettong (south-east mainland)",Extinct,Mammals
Bettongia pusilla,Nullarbor Dwarf Bettong,Extinct,Mammals
Caloprymnus campestris,Desert Rat-kangaroo,Extinct,Mammals
Chaeropus ecaudatus,"Pig-footed Bandicoot, Kanjilpa, Wilalya",Extinct,Mammals
Chaeropus yirratji,"Yirratji, Northern Pig-footed Bandicoot",Extinct,Mammals
Conilurus albipes,"White-footed Rabbit-rat, Parroo, White-footed Tree-rat",Extinct,Mammals
Conilurus capricornensis,Capricorn Rabbit-rat,Extinct,Mammals
Lagorchestes asomatus,"Kuluwarri, Central Hare-wallaby",Extinct,Mammals
Lagorchestes hirsutus hirsutus,"Rufous Hare-wallaby (south-western), Woorap",Extinct,Mammals
Lagorchestes leporides,Eastern Hare-wallaby,Extinct,Mammals
Lagostrophus fasciatus albipilis,Banded Hare-wallaby (mainland),Extinct,Mammals
Leporillus apicalis,"Lesser Stick-nest Rat,Tjooyalpi, White-tailed Stick-nest Rat",Extinct,Mammals
Macrotis leucura,"Yallara, Lesser Bilby, Djoonpi",Extinct,Mammals
Melomys rubicola,Bramble Cay Melomys,Extinct,Mammals
Notamacropus greyi,Toolache Wallaby,Extinct,Mammals
Notomys amplus,"Short-tailed Hopping-mouse, Yoontoo",Extinct,Mammals
Notomys longicaudatus,"Long-tailed Hopping-mouse, Koolawa, Talamba",Extinct,Mammals
Notomys macrotis,"Large-eared Hopping-mouse, Noompa, Big -eared Hopping-mouse",Extinct,Mammals
Notomys mordax,"Darling Downs Hopping-mouse, Payi",Extinct,Mammals
Notomys robustus,"Broad-cheeked Hopping-mouse, Great Hopping-mouse",Extinct,Mammals
Nyctophilus howensis,"Lord Howe Long-eared Bat, Lord Howe Island Bat",Extinct,Mammals
Onychogalea lunata,"Crescent Nailtail Wallaby, Tjawalpa, Wurrung",Extinct,Mammals
Perameles bougainville fasciata = Perameles fasciata,"Western Barred Bandicoot (eastern), Liverpool Plains Striped Bandicoot",Extinct,Mammals
Perameles eremiana,"Desert Bandicoot, Walilya",Extinct,Mammals
Perameles myosurus = Perameles myosuros,"Marl, Western Barred Bandicoot",Extinct,Mammals
Perameles notina,South-eastern Striped Bandicoot,Extinct,Mammals
