SPECIES_LUTO,TAXON,scientificName_x,canonicalName,Scientific Name,Endangered Status,scientificName_y
Cophixalus_concinnus,Amphibians,Cophixalus_concinnus,Cophixalus concinnus,Cophixalus concinnus,Critically,Cophixalus concinnus
Cophixalus_exiguus,Amphibians,Cophixalus_exiguus,Cophixalus exiguus,,,
Cophixalus_mcdonaldi,Amphibians,Cophixalus_mcdonaldi,Cophixalus mcdonaldi,Cophixalus mcdonaldi,Critically,Cophixalus mcdonaldi
Cophixalus_monticola,Amphibians,Cophixalus_monticola,Cophixalus monticola,Cophixalus monticola,Critically,Cophixalus monticola
Philoria_frosti,Amphibians,Philoria_frosti,Philoria frosti,Philoria frosti,Critically,Philoria frosti
Pseudophryne_corroboree,Amphibians,Pseudophryne_corroboree,Pseudophryne corroboree,Pseudophryne corroboree,Critically,Pseudophryne corroboree
Pseudophryne_pengilleyi,Amphibians,Pseudophryne_pengilleyi,Pseudophryne pengilleyi,Pseudophryne pengilleyi,Critically,Pseudophryne pengilleyi
Taudactylus_pleione,Amphibians,Taudactylus_pleione,Taudactylus pleione,Taudactylus pleione,Critically,Taudactylus pleione
Taudactylus_rheophilus,Amphibians,Taudactylus_rheophilus,Taudactylus rheophilus,Taudactylus rheophilus,Critically,Taudactylus rheophilus
Litoria_castanea,Amphibians,Litoria_castanea,Litoria castanea,Litoria castanea,Critically,Litoria castanea
Litoria_lorica,Amphibians,Litoria_lorica,Litoria lorica,Litoria lorica,Critically,Litoria lorica
Litoria_nyakalensis,Amphibians,Litoria_nyakalensis,Litoria nyakalensis,Litoria nyakalensis,Critically,Litoria nyakalensis
Cophixalus_aenigma,Amphibians,Cophixalus_aenigma,Cophixalus aenigma,Cophixalus aenigma,Endangered,Cophixalus aenigma
Cophixalus_neglectus,Amphibians,Cophixalus_neglectus,Cophixalus neglectus,Cophixalus neglectus,Critically,Cophixalus neglectus
Crinia_sloanei,Amphibians,Crinia_sloanei,Crinia sloanei,Crinia sloanei,Endangered,Crinia sloanei
Mixophyes_fleayi,Amphibians,Mixophyes_fleayi,Mixophyes fleayi,Mixophyes fleayi,Endangered,Mixophyes fleayi
Philoria_kundagungan,Amphibians,Philoria_kundagungan,Philoria kundagungan,Philoria kundagungan,Endangered,Philoria kundagungan
Philoria_richmondensis,Amphibians,Philoria_richmondensis,Philoria richmondensis,Philoria richmondensis,Endangered,Philoria richmondensis
Taudactylus_eungellensis,Amphibians,Taudactylus_eungellensis,Taudactylus eungellensis,Taudactylus eungellensis,Endangered,Taudactylus eungellensis
Uperoleia_littlejohni,Amphibians,Uperoleia_littlejohni,Uperoleia littlejohni,,,
Litoria_booroolongensis,Amphibians,Litoria_booroolongensis,Litoria booroolongensis,Litoria booroolongensis,Endangered,Litoria booroolongensis
Litoria_rheocola,Amphibians,Litoria_rheocola,Litoria rheocola,,,
Rhinella_marina,Amphibians,Rhinella_marina,Rhinella marina,,,
Mixophyes_balbus,Amphibians,Mixophyes_balbus,Mixophyes balbus,Mixophyes balbus,Vulnerable,Mixophyes balbus
Mixophyes_iteratus,Amphibians,Mixophyes_iteratus,Mixophyes iteratus,Mixophyes iteratus,Vulnerable,Mixophyes iteratus
Pseudophryne_covacevichae,Amphibians,Pseudophryne_covacevichae,Pseudophryne covacevichae,Pseudophryne covacevichae,Vulnerable,Pseudophryne covacevichae
Spicospina_flammocaerulea,Amphibians,Spicospina_flammocaerulea,Spicospina flammocaerulea,Spicospina flammocaerulea,Vulnerable,Spicospina flammocaerulea
Litoria_dayi,Amphibians,Litoria_dayi,Litoria dayi,Litoria dayi,Vulnerable,Litoria dayi
Litoria_olongburensis,Amphibians,Litoria_olongburensis,Litoria olongburensis,Litoria olongburensis,Vulnerable,Litoria olongburensis
Litoria_piperata,Amphibians,Litoria_piperata,Litoria piperata,Litoria piperata,Vulnerable,Litoria piperata
Litoria_raniformis,Amphibians,Litoria_raniformis,Litoria raniformis,Litoria raniformis,Vulnerable,Litoria raniformis
Geocrinia_rosea,Amphibians,Geocrinia_rosea,Geocrinia rosea,,,
Cophixalus_bombiens,Amphibians,Cophixalus_bombiens,Cophixalus bombiens,,,
Cophixalus_crepitans,Amphibians,Cophixalus_crepitans,Cophixalus crepitans,,,
Cophixalus_hosmeri,Amphibians,Cophixalus_hosmeri,Cophixalus hosmeri,Cophixalus hosmeri,Critically,Cophixalus hosmeri
Cophixalus_infacetus,Amphibians,Cophixalus_infacetus,Cophixalus infacetus,,,
Cophixalus_ornatus,Amphibians,Cophixalus_ornatus,Cophixalus ornatus,,,
Cophixalus_saxatilis,Amphibians,Cophixalus_saxatilis,Cophixalus saxatilis,,,
Crinia_georgiana,Amphibians,Crinia_georgiana,Crinia georgiana,,,
Crinia_glauerti,Amphibians,Crinia_glauerti,Crinia glauerti,,,
Crinia_insignifera,Amphibians,Crinia_insignifera,Crinia insignifera,,,
Crinia_nimbus,Amphibians,Crinia_nimbus,Crinia nimbus,,,
Crinia_parinsignifera,Amphibians,Crinia_parinsignifera,Crinia parinsignifera,,,
Crinia_pseudinsignifera,Amphibians,Crinia_pseudinsignifera,Crinia pseudinsignifera,,,
Crinia_remota,Amphibians,Crinia_remota,Crinia remota,,,
Crinia_riparia,Amphibians,Crinia_riparia,Crinia riparia,,,
Crinia_signifera,Amphibians,Crinia_signifera,Crinia signifera,,,
Crinia_subinsignifera,Amphibians,Crinia_subinsignifera,Crinia subinsignifera,,,
Crinia_tasmaniensis,Amphibians,Crinia_tasmaniensis,Crinia tasmaniensis,,,
Crinia_tinnula,Amphibians,Crinia_tinnula,Crinia tinnula,,,
Geocrinia_laevis,Amphibians,Geocrinia_laevis,Geocrinia laevis,,,
Geocrinia_leai,Amphibians,Geocrinia_leai,Geocrinia leai,,,
Geocrinia_victoriana,Amphibians,Geocrinia_victoriana,Geocrinia victoriana,,,
Metacrinia_nichollsi,Amphibians,Metacrinia_nichollsi,Metacrinia nichollsi,,,
Mixophyes_carbinensis,Amphibians,Mixophyes_carbinensis,Mixophyes carbinensis,,,
Mixophyes_coggeri,Amphibians,Mixophyes_coggeri,Mixophyes coggeri,,,
Mixophyes_fasciolatus,Amphibians,Mixophyes_fasciolatus,Mixophyes fasciolatus,,,
Mixophyes_schevilli,Amphibians,Mixophyes_schevilli,Mixophyes schevilli,,,
Rana_daemeli,Amphibians,Rana_daemeli,Rana daemeli,,,
Paracrinia_haswelli,Amphibians,Paracrinia_haswelli,Paracrinia haswelli,,,
Philoria_loveridgei,Amphibians,Philoria_loveridgei,Philoria loveridgei,,,
Philoria_pughi,Amphibians,Philoria_pughi,Philoria pughi,,,
Philoria_sphagnicolus,Amphibians,Philoria_sphagnicolus,Philoria sphagnicolus,,,
Pseudophryne_australis,Amphibians,Pseudophryne_australis,Pseudophryne australis,,,
Pseudophryne_coriacea,Amphibians,Pseudophryne_coriacea,Pseudophryne coriacea,,,
Pseudophryne_dendyi,Amphibians,Pseudophryne_dendyi,Pseudophryne dendyi,,,
Pseudophryne_douglasi,Amphibians,Pseudophryne_douglasi,Pseudophryne douglasi,,,
