SPECIES_LUTO,TAXON,scientificName_x,canonicalName,Scientific Name,Endangered Status,scientificName_y,Endanger Status IUCN
Cophixalus_concinnus,Amphibians,Cophixalus_concinnus,Cophixalus concinnus,Cophixalus concinnus,Critically,Cophixalus concinnus,CR
Cophixalus_exiguus,Amphibians,Cophixalus_exiguus,Cophixalus exiguus,,,,LC
Cophixalus_mcdonaldi,Amphibians,Cophixalus_mcdonaldi,Cophixalus mcdonaldi,Cophixalus mcdonaldi,Critically,Cophixalus mcdonaldi,CR
Cophixalus_monticola,Amphibians,Cophixalus_monticola,Cophixalus monticola,Cophixalus monticola,Critically,Cophixalus monticola,CR
Philoria_frosti,Amphibians,Philoria_frosti,Philoria frosti,Philoria frosti,Critically,Philoria frosti,CR
Pseudophryne_corroboree,Amphibians,Pseudophryne_corroboree,Pseudophryne corroboree,Pseudophryne corroboree,Critically,Pseudophryne corroboree,CR
Pseudophryne_pengilleyi,Amphibians,Pseudophryne_pengilleyi,Pseudophryne pengilleyi,Pseudophryne pengilleyi,Critically,Pseudophryne pengilleyi,CR
Taudactylus_pleione,Amphibians,Taudactylus_pleione,Taudactylus pleione,Taudactylus pleione,Critically,Taudactylus pleione,CR
Taudactylus_rheophilus,Amphibians,Taudactylus_rheophilus,Taudactylus rheophilus,Taudactylus rheophilus,Critically,Taudactylus rheophilus,CR
Litoria_castanea,Amphibians,Litoria_castanea,Litoria castanea,Litoria castanea,Critically,Litoria castanea,CR
Litoria_lorica,Amphibians,Litoria_lorica,Litoria lorica,Litoria lorica,Critically,Litoria lorica,CR
Litoria_nyakalensis,Amphibians,Litoria_nyakalensis,Litoria nyakalensis,Litoria nyakalensis,Critically,Litoria nyakalensis,EX
Cophixalus_aenigma,Amphibians,Cophixalus_aenigma,Cophixalus aenigma,Cophixalus aenigma,Endangered,Cophixalus aenigma,EN
Cophixalus_neglectus,Amphibians,Cophixalus_neglectus,Cophixalus neglectus,Cophixalus neglectus,Critically,Cophixalus neglectus,CR
Crinia_sloanei,Amphibians,Crinia_sloanei,Crinia sloanei,Crinia sloanei,Endangered,Crinia sloanei,EN
Mixophyes_fleayi,Amphibians,Mixophyes_fleayi,Mixophyes fleayi,Mixophyes fleayi,Endangered,Mixophyes fleayi,EN
Philoria_kundagungan,Amphibians,Philoria_kundagungan,Philoria kundagungan,Philoria kundagungan,Endangered,Philoria kundagungan,EN
Philoria_richmondensis,Amphibians,Philoria_richmondensis,Philoria richmondensis,Philoria richmondensis,Endangered,Philoria richmondensis,EN
Taudactylus_eungellensis,Amphibians,Taudactylus_eungellensis,Taudactylus eungellensis,Taudactylus eungellensis,Endangered,Taudactylus eungellensis,EN
