scientificName,type,genusOrAbove,specificEpithet,parsed,parsedPartially,canonicalName,canonicalNameComplete,canonicalNameWithMarker,rankMarker
Cophixalus_concinnus,DOUBTFUL,Cophixalus,concinnus,True,False,Cophixalus concinnus,Cophixalus concinnus,Cophixalus concinnus,sp.
Cophixalus_exiguus,DOUBTFUL,Cophixalus,exiguus,True,False,Cophixalus exiguus,Cophixalus exiguus,Cophixalus exiguus,sp.
Cophixalus_mcdonaldi,DOUBTFUL,Cophixalus,mcdonaldi,True,False,Cophixalus mcdonaldi,Cophixalus mcdonaldi,Cophixalus mcdonaldi,sp.
Cophixalus_monticola,DOUBTFUL,Cophixalus,monticola,True,False,Cophixalus monticola,Cophixalus monticola,Cophixalus monticola,sp.
Philoria_frosti,DOUBTFUL,Philoria,frosti,True,False,Philoria frosti,Philoria frosti,Philoria frosti,sp.
Pseudophryne_corroboree,DOUBTFUL,Pseudophryne,corroboree,True,False,Pseudophryne corroboree,Pseudophryne corroboree,Pseudophryne corroboree,sp.
Pseudophryne_pengilleyi,DOUBTFUL,Pseudophryne,pengilleyi,True,False,Pseudophryne pengilleyi,Pseudophryne pengilleyi,Pseudophryne pengilleyi,sp.
Taudactylus_pleione,DOUBTFUL,Taudactylus,pleione,True,False,Taudactylus pleione,Taudactylus pleione,Taudactylus pleione,sp.
Taudactylus_rheophilus,DOUBTFUL,Taudactylus,rheophilus,True,False,Taudactylus rheophilus,Taudactylus rheophilus,Taudactylus rheophilus,sp.
Litoria_castanea,DOUBTFUL,Litoria,castanea,True,False,Litoria castanea,Litoria castanea,Litoria castanea,sp.
Litoria_lorica,DOUBTFUL,Litoria,lorica,True,False,Litoria lorica,Litoria lorica,Litoria lorica,sp.
Litoria_nyakalensis,DOUBTFUL,Litoria,nyakalensis,True,False,Litoria nyakalensis,Litoria nyakalensis,Litoria nyakalensis,sp.
Cophixalus_aenigma,DOUBTFUL,Cophixalus,aenigma,True,False,Cophixalus aenigma,Cophixalus aenigma,Cophixalus aenigma,sp.
Cophixalus_neglectus,DOUBTFUL,Cophixalus,neglectus,True,False,Cophixalus neglectus,Cophixalus neglectus,Cophixalus neglectus,sp.
Crinia_sloanei,DOUBTFUL,Crinia,sloanei,True,False,Crinia sloanei,Crinia sloanei,Crinia sloanei,sp.
Mixophyes_fleayi,DOUBTFUL,Mixophyes,fleayi,True,False,Mixophyes fleayi,Mixophyes fleayi,Mixophyes fleayi,sp.
Philoria_kundagungan,DOUBTFUL,Philoria,kundagungan,True,False,Philoria kundagungan,Philoria kundagungan,Philoria kundagungan,sp.
Philoria_richmondensis,DOUBTFUL,Philoria,richmondensis,True,False,Philoria richmondensis,Philoria richmondensis,Philoria richmondensis,sp.
Taudactylus_eungellensis,DOUBTFUL,Taudactylus,eungellensis,True,False,Taudactylus eungellensis,Taudactylus eungellensis,Taudactylus eungellensis,sp.
Uperoleia_littlejohni,DOUBTFUL,Uperoleia,littlejohni,True,False,Uperoleia littlejohni,Uperoleia littlejohni,Uperoleia littlejohni,sp.
Litoria_booroolongensis,DOUBTFUL,Litoria,booroolongensis,True,False,Litoria booroolongensis,Litoria booroolongensis,Litoria booroolongensis,sp.
Litoria_rheocola,DOUBTFUL,Litoria,rheocola,True,False,Litoria rheocola,Litoria rheocola,Litoria rheocola,sp.
Rhinella_marina,DOUBTFUL,Rhinella,marina,True,False,Rhinella marina,Rhinella marina,Rhinella marina,sp.
Mixophyes_balbus,DOUBTFUL,Mixophyes,balbus,True,False,Mixophyes balbus,Mixophyes balbus,Mixophyes balbus,sp.
Mixophyes_iteratus,DOUBTFUL,Mixophyes,iteratus,True,False,Mixophyes iteratus,Mixophyes iteratus,Mixophyes iteratus,sp.
Pseudophryne_covacevichae,DOUBTFUL,Pseudophryne,covacevichae,True,False,Pseudophryne covacevichae,Pseudophryne covacevichae,Pseudophryne covacevichae,sp.
Spicospina_flammocaerulea,DOUBTFUL,Spicospina,flammocaerulea,True,False,Spicospina flammocaerulea,Spicospina flammocaerulea,Spicospina flammocaerulea,sp.
Litoria_dayi,DOUBTFUL,Litoria,dayi,True,False,Litoria dayi,Litoria dayi,Litoria dayi,sp.
Litoria_olongburensis,DOUBTFUL,Litoria,olongburensis,True,False,Litoria olongburensis,Litoria olongburensis,Litoria olongburensis,sp.
Litoria_piperata,DOUBTFUL,Litoria,piperata,True,False,Litoria piperata,Litoria piperata,Litoria piperata,sp.
Litoria_raniformis,DOUBTFUL,Litoria,raniformis,True,False,Litoria raniformis,Litoria raniformis,Litoria raniformis,sp.
Geocrinia_rosea,DOUBTFUL,Geocrinia,rosea,True,False,Geocrinia rosea,Geocrinia rosea,Geocrinia rosea,sp.
Cophixalus_bombiens,DOUBTFUL,Cophixalus,bombiens,True,False,Cophixalus bombiens,Cophixalus bombiens,Cophixalus bombiens,sp.
Cophixalus_crepitans,DOUBTFUL,Cophixalus,crepitans,True,False,Cophixalus crepitans,Cophixalus crepitans,Cophixalus crepitans,sp.
Cophixalus_hosmeri,DOUBTFUL,Cophixalus,hosmeri,True,False,Cophixalus hosmeri,Cophixalus hosmeri,Cophixalus hosmeri,sp.
Cophixalus_infacetus,DOUBTFUL,Cophixalus,infacetus,True,False,Cophixalus infacetus,Cophixalus infacetus,Cophixalus infacetus,sp.
Cophixalus_ornatus,DOUBTFUL,Cophixalus,ornatus,True,False,Cophixalus ornatus,Cophixalus ornatus,Cophixalus ornatus,sp.
Cophixalus_saxatilis,DOUBTFUL,Cophixalus,saxatilis,True,False,Cophixalus saxatilis,Cophixalus saxatilis,Cophixalus saxatilis,sp.
Crinia_georgiana,DOUBTFUL,Crinia,georgiana,True,False,Crinia georgiana,Crinia georgiana,Crinia georgiana,sp.
Crinia_glauerti,DOUBTFUL,Crinia,glauerti,True,False,Crinia glauerti,Crinia glauerti,Crinia glauerti,sp.
Crinia_insignifera,DOUBTFUL,Crinia,insignifera,True,False,Crinia insignifera,Crinia insignifera,Crinia insignifera,sp.
Crinia_nimbus,DOUBTFUL,Crinia,nimbus,True,False,Crinia nimbus,Crinia nimbus,Crinia nimbus,sp.
Crinia_parinsignifera,DOUBTFUL,Crinia,parinsignifera,True,False,Crinia parinsignifera,Crinia parinsignifera,Crinia parinsignifera,sp.
Crinia_pseudinsignifera,DOUBTFUL,Crinia,pseudinsignifera,True,False,Crinia pseudinsignifera,Crinia pseudinsignifera,Crinia pseudinsignifera,sp.
