TAXON,COMMON_NAME,SPECIES_2022,SPECIES_LUTO,MODELLED,SPECIES_TYPE,IUCN_GLOBAL_STATUS,AUS_GOV_THREAT_STATUS
Amphibians,Elegant Frog,Cophixalus_concinnus,Cophixalus_concinnus,Yes,Ground dweller,CR,CR
Amphibians,Scanty Frog,Cophixalus_exiguus,Cophixalus_exiguus,Yes,Ground dweller,CR,CR
Amphibians,McDonald's Frog,Cophixalus_mcdonaldi,Cophixalus_mcdonaldi,Yes,Ground dweller,CR,CR
Amphibians,Mountain-Top Nursery-Frog,Cophixalus_monticola,Cophixalus_monticola,Yes,Ground dweller,CR,CR
Amphibians,Baw Baw Frog,Philoria_frosti,Philoria_frosti,Yes,Ground dweller,CR,CR
Amphibians,Corroboree frog,Pseudophryne_corroboree,Pseudophryne_corroboree,Yes,Ground dweller,CR,CR
Amphibians,Northern Corroboree Frog,Pseudophryne_pengilleyi,Pseudophryne_pengilleyi,Yes,Ground dweller,CR,CR
Amphibians,Kroombit Tinker Frog,Taudactylus_pleione,Taudactylus_pleione,Yes,Ground dweller,CR,CR
Amphibians,Tinkling Frog,Taudactylus_rheophilus,Taudactylus_rheophilus,Yes,Ground dweller,CR,CR
Amphibians,Yellow-spotted Tree Frog,Litoria_castanea,Litoria_castanea,Yes,Arboreal frogs,CR,CR
Amphibians,Armoured Mistfrog,Litoria_lorica,Litoria_lorica,Yes,Arboreal frogs,CR,CR
Amphibians,Mountain Mistfrog,Litoria_nyakalensis,Litoria_nyakalensis,Yes,Arboreal frogs,CR,CR
Amphibians,Tapping Nursery-frog,Cophixalus_aenigma,Cophixalus_aenigma,Yes,Ground dweller,EN,EN
Amphibians,Neglected Frog,Cophixalus_neglectus,Cophixalus_neglectus,Yes,Ground dweller,EN,EN
Amphibians,Sloane's Froglet,Crinia_sloanei,Crinia_sloanei,Yes,Ground dweller,EN,EN
Amphibians,Fleay’s Barred-Frog,Mixophyes_fleayi,Mixophyes_fleayi,Yes,Ground dweller,EN,EN
Amphibians,Mountain Frog,Philoria_kundagungan,Philoria_kundagungan,Yes,Ground dweller,EN,EN
Amphibians,Richmond Mountain Frog,Philoria_richmondensis,Philoria_richmondensis,Yes,Ground dweller,EN,EN
Amphibians,Eungella Torrent frog,Taudactylus_eungellensis,Taudactylus_eungellensis,Yes,Ground dweller,EN,EN
Amphibians,Littlejohn's Toadlet,Uperoleia_littlejohni,Uperoleia_littlejohni,Yes,Burrower,EN,EN
Amphibians,Booroolong Frog,Litoria_booroolongensis,Litoria_booroolongensis,Yes,Arboreal frogs,EN,EN
Amphibians,Common Mistfrog,Litoria_rheocola,Litoria_rheocola,Yes,Arboreal frogs,EN,EN
Amphibians,Marine Toad,Rhinella_marina,Rhinella_marina,Yes,Ground dweller,IV,IV
Amphibians,Stuttering Frog,Mixophyes_balbus,Mixophyes_balbus,Yes,Ground dweller,VU,VU
Amphibians,Giant Barred-Frog,Mixophyes_iteratus,Mixophyes_iteratus,Yes,Ground dweller,VU,VU
Amphibians,Magnificent Brood Frog,Pseudophryne_covacevichae,Pseudophryne_covacevichae,Yes,Ground dweller,VU,VU
Amphibians,Sunset Frog,Spicospina_flammocaerulea,Spicospina_flammocaerulea,Yes,Ground dweller,VU,VU
Amphibians,Lace-eyed Tree Frog,Litoria_dayi,Litoria_dayi,Yes,Arboreal frogs,VU,VU
Amphibians,Olongburra Frog,Litoria_olongburensis,Litoria_olongburensis,Yes,Arboreal frogs,VU,VU
Amphibians,Peppered Tree Frog,Litoria_piperata,Litoria_piperata,Yes,Arboreal frogs,VU,VU
Amphibians,Southern Bell Frog,Litoria_raniformis,Litoria_raniformis,Yes,Arboreal frogs,VU,VU
Amphibians,Roseate Frog,Anstisia_rosea,Geocrinia_rosea,Yes,Ground dweller,,
Amphibians,Buzzing Frog,Cophixalus_bombiens,Cophixalus_bombiens,Yes,Ground dweller,,
Amphibians,Rattling Frog,Cophixalus_crepitans,Cophixalus_crepitans,Yes,Ground dweller,,
Amphibians,Hosmer's Frog,Cophixalus_hosmeri,Cophixalus_hosmeri,Yes,Ground dweller,,
Amphibians,Inelegant Frog,Cophixalus_infacetus,Cophixalus_infacetus,Yes,Ground dweller,,
Amphibians,Ornate Frog,Cophixalus_ornatus,Cophixalus_ornatus,Yes,Ground dweller,,
Amphibians,Black Mountain Boulder Frog,Cophixalus_saxatilis,Cophixalus_saxatilis,Yes,Ground dweller,,
Amphibians,Quacking Frog,Crinia_georgiana,Crinia_georgiana,Yes,Ground dweller,,
Amphibians,Glauert's Froglet,Crinia_glauerti,Crinia_glauerti,Yes,Ground dweller,,
Amphibians,Sign-bearing Froglet,Crinia_insignifera,Crinia_insignifera,Yes,Ground dweller,,
Amphibians,Moss Frog,Crinia_nimbus,Crinia_nimbus,Yes,Ground dweller,,
Amphibians,Eastern Sign-bearing Froglet,Crinia_parinsignifera,Crinia_parinsignifera,Yes,Ground dweller,,
Amphibians,False Western Froglet,Crinia_pseudinsignifera,Crinia_pseudinsignifera,Yes,Ground dweller,,
Amphibians,Remote Froglet,Crinia_remota,Crinia_remota,Yes,Ground dweller,,
Amphibians,Southern Flinders Ranges Froglet,Crinia_riparia,Crinia_riparia,Yes,Ground dweller,,
Amphibians,Common Froglet,Crinia_signifera,Crinia_signifera,Yes,Ground dweller,,
Amphibians,Small Western Froglet,Crinia_subinsignifera,Crinia_subinsignifera,Yes,Ground dweller,,
Amphibians,Tasmanian Froglet,Crinia_tasmaniensis,Crinia_tasmaniensis,Yes,Ground dweller,,
Amphibians,Wallum froglet,Crinia_tinnula,Crinia_tinnula,Yes,Ground dweller,,
Amphibians,Southern Smooth Froglet,Geocrinia_laevis,Geocrinia_laevis,Yes,Ground dweller,,
Amphibians,Lea's Frog,Geocrinia_leai,Geocrinia_leai,Yes,Ground dweller,,
Amphibians,Eastern Smooth Frog,Geocrinia_victoriana,Geocrinia_victoriana,Yes,Ground dweller,,
Amphibians,Nicholl's Toadlet,Metacrinia_nichollsi,Metacrinia_nichollsi,Yes,Ground dweller,,
Amphibians,Carbine Barred Frog,Mixophyes_carbinensis,Mixophyes_carbinensis,Yes,Ground dweller,,
Amphibians,Mottled Barred Frog ,Mixophyes_coggeri,Mixophyes_coggeri,Yes,Ground dweller,,
Amphibians,Great Barred-Frog,Mixophyes_fasciolatus,Mixophyes_fasciolatus,Yes,Ground dweller,,
Amphibians,Northern Barred Frog,Mixophyes_schevilli,Mixophyes_schevilli,Yes,Ground dweller,,
Amphibians,Wood Frog,Papurana_daemeli,Rana_daemeli,Yes,Ground dweller,,
Amphibians,Haswell's Froglet,Paracrinia_haswelli,Paracrinia_haswelli,Yes,Ground dweller,,
Amphibians,Loveridge's Frog,Philoria_loveridgei,Philoria_loveridgei,Yes,Ground dweller,,
Amphibians,Pugh's Sphagnum Frog,Philoria_pughi,Philoria_pughi,Yes,Ground dweller,,
Amphibians,Sphagnum Frog,Philoria_sphagnicolus,Philoria_sphagnicolus,Yes,Ground dweller,,
Amphibians,Red-crowned Toadlet,Pseudophryne_australis,Pseudophryne_australis,Yes,Ground dweller,,
Amphibians,Red-backed Toadlet,Pseudophryne_coriacea,Pseudophryne_coriacea,Yes,Ground dweller,,
Amphibians,Dendy's Toadlet,Pseudophryne_dendyi,Pseudophryne_dendyi,Yes,Ground dweller,,
Amphibians,Douglas' Toad,Pseudophryne_douglasi,Pseudophryne_douglasi,Yes,Ground dweller,,
Amphibians,Günther's Toadlet,Pseudophryne_guentheri,Pseudophryne_guentheri,Yes,Ground dweller,,
Amphibians,Orange-crowned Toadlet,Pseudophryne_occidentalis,Pseudophryne_occidentalis,Yes,Ground dweller,,
Amphibians,Marbled Toadlet,Pseudophryne_semimarmorata,Pseudophryne_semimarmorata,Yes,Ground dweller,,
Amphibians,Sharp-snouted Torrent Frog,Taudactylus_acutirostris,Taudactylus_acutirostris,Yes,Ground dweller,,
Amphibians,Liem's Tinker Frog,Taudactylus_liemi,Taudactylus_liemi,Yes,Ground dweller,,
Amphibians,Jabiru Toadlet,Uperoleia_arenicola,Uperoleia_arenicola,Yes,Ground dweller,,
Amphibians,Derby Toadlet,Uperoleia_aspera,Uperoleia_aspera,Yes,Ground dweller,,
Amphibians,Small-headed Toadlet,Uperoleia_capitulata,Uperoleia_capitulata,Yes,Ground dweller,,
Amphibians,Fat Toadlet (crassa),Uperoleia_crassa,Uperoleia_crassa,Yes,Ground dweller,,
Amphibians,Glandular Toadlet,Uperoleia_glandulosa,Uperoleia_glandulosa,Yes,Ground dweller,,
Amphibians,Smooth Toadlet,Uperoleia_laevigata,Uperoleia_laevigata,Yes,Ground dweller,,
Amphibians,Martin's Toadlet,Uperoleia_martini,Uperoleia_martini,Yes,Ground dweller,,
Amphibians,Tanami Toadlet,Uperoleia_micromeles,Uperoleia_micromeles,Yes,Ground dweller,,
Amphibians,Small Toadlet,Uperoleia_minima,Uperoleia_minima,Yes,Ground dweller,,
Amphibians,Wrinkled Toadlet,Uperoleia_rugosa,Uperoleia_rugosa,Yes,Ground dweller,,
Amphibians,Russell's Toadlet,Uperoleia_russelli,Uperoleia_russelli,Yes,Ground dweller,,
Amphibians,Pilbara Toadlet,Uperoleia_saxatilis,Uperoleia_saxatilis,Yes,Ground dweller,,
Amphibians,Mole Toadlet,Uperoleia_talpa,Uperoleia_talpa,Yes,Ground dweller,,
Amphibians,Tyler's Toadlet,Uperoleia_tyleri,Uperoleia_tyleri,Yes,Ground dweller,,
Amphibians,Bilingual Frog,Crinia_bilingua,Crinia_bilingua,No,Ground dweller,,
Amphibians,Desert Froglet,Crinia_deserticola,Crinia_deserticola,No,Ground dweller,,
